,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,6 days,0.03745186877651323,0.19352485312360587,0.18201524767208868,0.03411885967210928,0.03489327687185936,0.03417444529355702,0.125
1,7 days,0.041034771783825995,0.20257041191601993,0.19046069884251018,0.035182549981852086,0.03489327687185936,0.035236876074611935,0.16666666666666666
2,8 days,0.04690623117746771,0.21657846425133712,0.20510765717054358,0.03779613187123552,0.03544201269971553,0.0379487074958167,0.1875
3,9 days,0.053538393306473815,0.23138364960920169,0.21159483027085071,0.0389185995852292,0.03544201269971553,0.03923957743615459,0.25
4,10 days,0.06068365936795001,0.24634053537319028,0.22378491250736132,0.04115673082037982,0.04565332096530932,0.041546270276906855,0.22916666666666666
5,11 days,0.06722988111333288,0.25928725597941155,0.23494707040530655,0.043369397731190786,0.04565332096530932,0.043845154012263,0.1875
6,12 days,0.0692517938115138,0.263157355609745,0.23024458933646727,0.04291548941201942,0.04565332096530932,0.043568591814428084,0.2708333333333333
7,13 days,0.06274209524253989,0.2504837225101461,0.21064229328488232,0.03928253598099706,0.029125512877897945,0.03990851855341957,0.3541666666666667
8,14 days,0.05230640544008085,0.22870593660873967,0.1857261648282781,0.0344602071578065,0.024844501279509084,0.03494325575899275,0.4166666666666667
9,15 days,0.04527886903150866,0.21278831977227666,0.1693209092535769,0.03142860095781166,0.024266947186360813,0.03189430744521742,0.4375
10,16 days,0.042948839861492685,0.2072410187716049,0.1668529879643723,0.031045336337408906,0.024266947186360813,0.031504830464924555,0.4375
11,17 days,0.03796868134276107,0.1948555396768618,0.15818538742841604,0.029484253665663384,0.021760470292603078,0.029837964489501493,0.5
12,18 days,0.0371306400551221,0.1926931240473362,0.16356441518818032,0.030505047348591843,0.029429324414018472,0.030751086152908363,0.4375
13,19 days,0.04055096198929557,0.20137269424948254,0.17352895424147136,0.03257504656595052,0.03474599573194863,0.032900836929179396,0.375
14,20 days,0.03965381860193715,0.19913266583345174,0.16955366540517322,0.03181806203100201,0.03185035587926304,0.032155929234568954,0.4166666666666667
15,21 days,0.040246971412029854,0.2006164784159812,0.17339864834486038,0.03239021322293728,0.03424188856756376,0.03254539292360057,0.3958333333333333
16,22 days,0.03990350247327612,0.19975861051097676,0.1756322020714604,0.03268805038858918,0.036591396431647286,0.032693955739340565,0.375
17,23 days,0.043700871046836724,0.20904753298433523,0.1872644223218286,0.03478823264135807,0.03663490719680647,0.03473921316757589,0.3125
18,24 days,0.04236652265392615,0.20583129658515528,0.18190010885914606,0.033716591302962375,0.04005186214912915,0.0335512628687774,0.3333333333333333
19,25 days,0.04399374016669707,0.2097468478111103,0.18483713136576757,0.034262170354114774,0.04005186214912915,0.03400344215091332,0.3125
20,26 days,0.04636221803674894,0.21531887524494675,0.19447489834073803,0.036183676518698145,0.0389534747237388,0.03598947818848752,0.22916666666666666
21,27 days,0.04524016534199618,0.21269735621769298,0.1920975808819903,0.03565218618004007,0.040711326068163536,0.0354893128377831,0.25
22,28 days,0.04293042246800673,0.20719657928645138,0.18515386421083246,0.03412729132696099,0.039296753277153054,0.033898678598165796,0.3125
23,29 days,0.04234707825934996,0.20578405734981017,0.18431548593804462,0.034117952401561624,0.040711326068163536,0.033871104643157686,0.3125
24,30 days,0.0453699150701901,0.21300214804125825,0.19600082242065026,0.036363029629566994,0.04135648404981056,0.036104319945915904,0.25
25,31 days,0.04476274950988541,0.21157209057407692,0.19888274208396828,0.03683990822316882,0.04135648404981056,0.03660030077568092,0.25
26,32 days,0.0500039449931093,0.2236156188487497,0.2104039765325793,0.03909675682706959,0.04199769137940316,0.038922590392096106,0.25
27,33 days,0.0534920181578623,0.23128341522440019,0.21779937318471362,0.04071398124443835,0.04199769137940316,0.040709801112015366,0.22916666666666666
28,34 days,0.049377100313356855,0.22220958645692326,0.20362595080327434,0.03810584946057964,0.04199769137940316,0.03815605184113905,0.25
29,35 days,0.04407545131102006,0.20994154260417364,0.18783376698997442,0.0348583778551821,0.04035734237644947,0.034871046441104545,0.375
30,36 days,0.045822976380097614,0.2140630196463126,0.19107390445944034,0.035465439856715644,0.04156682790452251,0.03557809215445624,0.3541666666666667
31,37 days,0.050073489736987664,0.22377106545974093,0.20176822517225404,0.03743909222616073,0.03769740704566582,0.03754850022123906,0.2916666666666667
